(316, -38)
(312, -38)
(297, -38)
(290, -38)
(278, -38)
(263, -38)
(254, -39)
(224, -39)
(172, -38)
(114, -38)
(67, -37)
(5, -37)
(-57, -38)
(-136, -39)
(-187, -40)
(-247, -43)
(-258, -44)
(-281, -43)
(-301, -42)
(-311, -42)
(-313, -43)
(-316, -44)
(-316, -44)
(-311, -44)
(-307, -44)
(-297, -45)
(-286, -45)
(-278, -45)
(-259, -46)
(-252, -46)
(-230, -45)
(-217, -44)
(-183, -43)
(-125, -42)
(-68, -42)
(-23, -41)
(9, -41)
(54, -41)
(82, -41)
(97, -41)
(106, -41)
(121, -40)
(123, -40)
(122, -40)
(122, -40)
(119, -39)
(115, -38)
(113, -38)
(112, -38)
(107, -37)
(105, -37)
(104, -36)
(101, -36)
(97, -36)
(95, -36)
(87, -35)
(83, -35)
(74, -34)
(64, -34)
(58, -34)
(55, -33)
(44, -33)
(42, -33)
(36, -33)
(33, -32)
(28, -32)
(24, -32)
(23, -32)
(23, -32)
(24, -32)
(25, -32)
(23, -32)
(22, -32)
(21, -32)
(19, -32)
(17, -32)
(15, -32)
(12, -32)
(9, -32)
(7, -32)
(7, -32)
(10, -32)
(13, -33)
(16, -33)
(19, -33)
(23, -33)
(25, -33)
(27, -34)
(28, -34)
(29, -34)
(28, -35)
(28, -35)
(26, -35)
(25, -35)
(25, -36)
(25, -36)
(25, -36)
(26, -37)
(26, -37)
(26, -37)
(26, -38)
(27, -38)
(27, -38)
(27, -39)
(27, -39)
(27, -39)
(27, -40)
(28, -40)
(27, -40)
(27, -40)
(26, -41)
(25, -41)
(23, -41)
(23, -41)
(23, -41)
(21, -41)
(21, -41)
(20, -41)
(18, -41)
(17, -41)
(16, -41)
(13, -41)
(12, -40)
(9, -40)
(8, -40)
(6, -39)
(5, -39)
(1, -39)
(0, -38)
(-3, -38)
(-4, -38)
(-5, -37)
(-4, -37)
(-4, -36)
(-3, -36)
(-2, -35)
(-4, -35)
(-5, -34)
(-5, -34)
(-7, -33)
(-8, -33)
(-11, -32)
(-12, -32)
(-14, -31)
(-16, -31)
(-18, -31)
(-21, -30)
(-22, -30)
(-23, -30)
(-24, -29)
(-24, -29)
(-27, -28)
(-28, -28)
(-28, -27)
(-29, -27)
(-30, -26)
(-29, -26)
(-30, -26)
(-30, -25)
(-29, -25)
(-29, -24)
(-28, -24)
(-28, -24)
(-27, -24)
(-27, -24)
(-26, -23)
(-24, -23)
(-22, -23)
(-21, -22)
(-19, -22)
(-18, -22)
(-17, -22)
(-16, -22)
(-16, -22)
(-15, -21)
(-15, -21)
(-13, -21)
(-13, -21)
(-12, -21)
(-12, -21)
(-10, -20)
(-10, -20)
(-10, -20)
(-9, -20)
(-9, -20)
(-7, -20)
(-6, -20)
(-6, -20)
(-6, -20)
(-6, -19)
(-6, -19)
(-7, -19)
(-8, -19)
(-12, -19)
(-12, -19)
(-12, -19)
(-12, -19)
(-12, -19)
(-12, -19)
(-10, -19)
(-8, -19)
(-8, -19)
(-6, -19)
(-7, -19)
(-7, -19)
(-9, -20)
(-10, -20)
(-12, -20)
(-12, -20)
(-15, -20)
(-16, -20)
(-16, -20)
(-15, -21)
(-15, -21)
(-14, -21)
(-13, -21)
(-13, -21)
(-12, -22)
(-12, -22)
(-11, -22)
(-11, -22)
(-10, -23)
(-10, -23)
(-10, -23)
(-10, -24)
(-11, -24)
(-12, -24)
(-12, -25)
(-12, -25)
(-13, -25)
(-13, -25)
(-14, -26)
(-15, -26)
(-15, -27)
(-16, -27)
(-16, -28)
(-16, -28)
(-18, -29)
(-18, -29)
(-19, -30)
(-19, -30)
(-19, -30)
(-20, -31)
(-20, -32)
(-23, -32)
(-24, -32)
(-29, -33)
(-32, -34)
(-35, -34)
(-37, -34)
(-39, -35)
(-40, -36)
(-39, -36)
(-36, -37)
(-34, -37)
(-28, -38)
(-27, -38)
(-18, -38)
(-15, -39)
(-11, -39)
(-6, -39)
(-3, -39)
(3, -40)
(6, -40)
(7, -40)
(6, -41)
(6, -41)
(5, -41)
(5, -41)
(4, -41)
